accumulation.total_token_count: shape=(), dtype=int64 | dimensions: scalar
microbatch_0_short.targets: shape=(16, 8), dtype=int64 | dimensions: batch, sequence
microbatch_0_short.input_ids: shape=(16, 8), dtype=int64 | dimensions: batch, sequence
microbatch_0_short.position_indices: shape=(8,), dtype=int64 | dimensions: sequence
microbatch_0_short.token_embedding: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.position_embedding: shape=(8, 64), dtype=float32 | dimensions: sequence, model channel
microbatch_0_short.embedding_sum: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_0.ln1: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_0.qkv: shape=(16, 8, 192), dtype=float32 | dimensions: batch, sequence, concatenated Q/K/V channel
microbatch_0_short.block_0.q: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_0_short.block_0.k: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, key position, head channel
microbatch_0_short.block_0.v: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, value position, head channel
microbatch_0_short.block_0.attention_scores: shape=(16, 4, 8, 8), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_0_short.block_0.causal_mask: shape=(1, 1, 8, 8), dtype=bool | dimensions: broadcast batch, broadcast head, query position, key position
microbatch_0_short.block_0.masked_scores: shape=(16, 4, 8, 8), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_0_short.block_0.attention_probabilities: shape=(16, 4, 8, 8), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_0_short.block_0.attended_values: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_0_short.block_0.merged_heads: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_0.attention_output: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_0.residual_after_attention: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_0.ln2: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_0.mlp_up: shape=(16, 8, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_0_short.block_0.gelu: shape=(16, 8, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_0_short.block_0.mlp_down: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_0.residual_after_mlp: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_1.ln1: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_1.qkv: shape=(16, 8, 192), dtype=float32 | dimensions: batch, sequence, concatenated Q/K/V channel
microbatch_0_short.block_1.q: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_0_short.block_1.k: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, key position, head channel
microbatch_0_short.block_1.v: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, value position, head channel
microbatch_0_short.block_1.attention_scores: shape=(16, 4, 8, 8), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_0_short.block_1.causal_mask: shape=(1, 1, 8, 8), dtype=bool | dimensions: broadcast batch, broadcast head, query position, key position
microbatch_0_short.block_1.masked_scores: shape=(16, 4, 8, 8), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_0_short.block_1.attention_probabilities: shape=(16, 4, 8, 8), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_0_short.block_1.attended_values: shape=(16, 4, 8, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_0_short.block_1.merged_heads: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_1.attention_output: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_1.residual_after_attention: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_1.ln2: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_1.mlp_up: shape=(16, 8, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_0_short.block_1.gelu: shape=(16, 8, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_0_short.block_1.mlp_down: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.block_1.residual_after_mlp: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.final_norm: shape=(16, 8, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_0_short.logits: shape=(16, 8, 256), dtype=float32 | dimensions: batch, sequence, byte vocabulary
microbatch_0_short.flat_logits: shape=(128, 256), dtype=float32 | dimensions: batch-times-sequence, byte vocabulary
microbatch_0_short.flat_targets: shape=(128,), dtype=int64 | dimensions: batch-times-sequence
