step,gradient,corrected_weight,uncorrected_weight,corrected_update,uncorrected_update,correction_factor,relative_factor_error
1,0.5,0.99900000002,0.9968377243398303,0.0009999999800000003,0.003162275660169642,0.3162277660168381,0.6837722339831619
2,0.4,0.9980118742377022,0.9926385952103607,0.0009881257822978214,0.004199129129469622,0.23531672532745276,0.7646832746725473
3,0.6,0.9970177341909984,0.9877173696879767,0.0009941400467038547,0.004921225522383916,0.2020105974389679,0.7979894025610321
4,0.45,0.9960278874978654,0.9823310052505598,0.0009898466931330028,0.005386364437416905,0.18376892374498519,0.8162310762550148
5,0.55,0.9950314627872701,0.976554593008453,0.000996424710595308,0.0057764122421068076,0.17249884690452813,0.8275011530954719
6,0.5,0.9940347464840119,0.9705178464802893,0.0009967163032581707,0.006036746528163798,0.16510815268402332,0.8348918473159767
7,0.4,0.9930505208211583,0.9643714535893795,0.000984225662853648,0.006146392890909813,0.16013057743679973,0.8398694225632003
8,0.6,0.9920548609888495,0.958020419208895,0.0009956598323087246,0.00635103438048446,0.15677125516997972,0.8432287448300203
9,0.45,0.9910649033640481,0.9516153174624058,0.0009899576248015255,0.006405101746489223,0.15455764397831934,0.8454423560216806
10,0.55,0.9900684786534527,0.9451107769826484,0.0009964247105953077,0.006504540479757379,0.1531890739511824,0.8468109260488176
11,0.5,0.9890720790072888,0.9385754646437169,0.0009963996461639466,0.006535312338931604,0.15246394135025237,0.8475360586497476
12,0.4,0.9880886271987803,0.9321156425827869,0.000983451808508438,0.006459822060929964,0.15224129051350335,0.8477587094864967
13,0.6,0.9870926069234764,0.9255808976327188,0.000996020275303871,0.006534744950068094,0.1524191271813757,0.8475808728186243
14,0.45,0.9861028824978699,0.9191087906636787,0.0009897244256064875,0.0064721069690401355,0.15292149570034197,0.847078504299658
15,0.55,0.9851064577872746,0.912625468449209,0.0009964247105953108,0.006483322214469662,0.15369042840954503,0.846309571590455
16,0.5,0.9841101918027241,0.9061846804975802,0.0009962659845504408,0.006440787951628783,0.15468074017146757,0.8453192598285324
17,0.4,0.9831274790100544,0.8998794425539368,0.0009827127926697124,0.006305237943643342,0.15585655442731472,0.8441434455726853
18,0.6,0.9821312930310352,0.8935419357755653,0.000996185979019168,0.006337506778371529,0.1571889208164824,0.8428110791835176
19,0.45,0.9811418663506097,0.8873055618416177,0.0009894266804255025,0.006236373933947652,0.15865414215129423,0.8413458578487057
20,0.55,0.9801454416400144,0.8810869474817266,0.0009964247105953084,0.0062186143598911125,0.1602325747308485,0.8397674252691515
