schedule,peak_learning_rate,tuning_steps,seeds,mean_validation_loss,std_validation_loss
cosine,0.0001875,200,3,0.733695795138677,0.0023926454249024297
cosine,0.000375,200,3,0.6082073003053665,0.006411802486512171
cosine,0.00075,200,3,0.5635142251849174,0.00844297524050387
cosine,0.0015,200,3,0.5724859808882078,0.01057922526868424
cosine,0.003,200,3,0.6061594635248184,0.011925157424806019
cosine,0.006,200,3,0.6409252633651098,0.0058618615866344705
cosine,0.012,200,3,0.6482735077540079,0.011559716351403381
wsd,0.0001875,200,3,0.6722417324781418,0.0031940862786953724
wsd,0.000375,200,3,0.5903093591332436,0.006056676039734043
wsd,0.00075,200,3,0.5832374915480614,0.009496037512546792
wsd,0.0015,200,3,0.62952754398187,0.01487213957175658
wsd,0.003,200,3,0.686351016163826,0.015039806928085975
wsd,0.006,200,3,0.7690364072720209,0.013476139753329217
wsd,0.012,200,3,0.7863426307837168,0.013009906704754366
