schedule,peak_learning_rate,seed,tuning_steps,validation_loss
cosine,0.0001875,20261212,200,0.735785648226738
cosine,0.0001875,20261213,200,0.7342158406972885
cosine,0.0001875,20261214,200,0.7310858964920044
cosine,0.000375,20261212,200,0.6143422871828079
cosine,0.000375,20261213,200,0.6015505641698837
cosine,0.000375,20261214,200,0.6087290495634079
cosine,0.00075,20261212,200,0.5711679756641388
cosine,0.00075,20261213,200,0.5544577315449715
cosine,0.00075,20261214,200,0.5649169683456421
cosine,0.0015,20261212,200,0.5805445462465286
cosine,0.0015,20261213,200,0.5605059340596199
cosine,0.0015,20261214,200,0.5764074623584747
cosine,0.003,20261212,200,0.6146576255559921
cosine,0.003,20261213,200,0.5925271362066269
cosine,0.003,20261214,200,0.6112936288118362
cosine,0.006,20261212,200,0.6440622359514236
cosine,0.006,20261213,200,0.6341624557971954
cosine,0.006,20261214,200,0.6445510983467102
cosine,0.012,20261212,200,0.6553481370210648
cosine,0.012,20261213,200,0.654538705945015
cosine,0.012,20261214,200,0.6349336802959442
wsd,0.0001875,20261212,200,0.6754045188426971
wsd,0.0001875,20261213,200,0.6690172404050827
wsd,0.0001875,20261214,200,0.6723034381866455
wsd,0.000375,20261212,200,0.5939321219921112
wsd,0.000375,20261213,200,0.5833172425627708
wsd,0.000375,20261214,200,0.5936787128448486
wsd,0.00075,20261212,200,0.5847442746162415
wsd,0.00075,20261213,200,0.5730781480669975
wsd,0.00075,20261214,200,0.5918900519609451
wsd,0.0015,20261212,200,0.6306373625993729
wsd,0.0015,20261213,200,0.6141315847635269
wsd,0.0015,20261214,200,0.6438136845827103
wsd,0.003,20261212,200,0.6878820359706879
wsd,0.003,20261213,200,0.6706042587757111
wsd,0.003,20261214,200,0.700566753745079
wsd,0.006,20261212,200,0.7711966335773468
wsd,0.006,20261213,200,0.7546106427907944
wsd,0.006,20261214,200,0.7813019454479218
wsd,0.012,20261212,200,0.8002538681030273
wsd,0.012,20261213,200,0.7842977941036224
wsd,0.012,20261214,200,0.7744762301445007
