condition,step,layer,seeds,mean_update_to_weight_ratio,std_update_to_weight_ratio,mean_gradient_norm,std_gradient_norm
no_warmup,1,hidden,5,0.0024075802685082025,9.25736359988432e-06,1.415947638757749,0.05174146435320884
no_warmup,1,hidden_norm,5,0.00021212508286362798,1.6311024804059093e-09,0.12622090389130683,0.002852959541192827
no_warmup,1,input,5,0.0008614704248654566,6.588089103056996e-06,0.7650747850138605,0.03598153512196476
no_warmup,1,output,5,0.0024154441020749996,4.297205450941029e-05,1.8892036411735913,0.07850715163299943
no_warmup,1,output_norm,5,0.00021213274136623925,1.4925550658348681e-09,0.16389641079053313,0.0062921886312898604
no_warmup,2,hidden,5,0.001852990485928309,1.7656659437288563e-05,1.4275455065837879,0.05960060432711758
no_warmup,2,hidden_norm,5,0.00016214276571640458,2.6356823400729587e-06,0.12198749666961647,0.007287678631472401
no_warmup,2,input,5,0.0006610777941795894,3.994732853308007e-06,0.7804151678397331,0.04186227116100968
no_warmup,2,output,5,0.0018990642972812597,3.266336093319302e-05,1.8778353133493773,0.049813776607946635
no_warmup,2,output_norm,5,0.0001669032560090901,6.0614092613925715e-06,0.16317665889851454,0.01454010827703996
no_warmup,3,hidden,5,0.0016466276363666555,1.5211744883943515e-05,1.3675858791463837,0.02675687643299284
no_warmup,3,hidden_norm,5,0.00014514609338260216,2.583570086453343e-06,0.11984470952318846,0.007456371226515239
no_warmup,3,input,5,0.000588229025031599,2.8367048548182803e-06,0.7462040320240997,0.013968909656496217
no_warmup,3,output,5,0.0017237055088346897,3.398353594942731e-05,1.8326528833530464,0.04958771494834561
no_warmup,3,output_norm,5,0.00015107738915782278,5.055721656822602e-06,0.15456613572931022,0.017413038114515923
no_warmup,4,hidden,5,0.0015392153002846665,1.9661809810040887e-05,1.4107801962726654,0.02007577744105049
no_warmup,4,hidden_norm,5,0.00013723437930597925,3.073127487161063e-06,0.1291138556970744,0.003370202014445792
no_warmup,4,input,5,0.0005504430694715728,4.725122770626417e-06,0.7711171798214493,0.029733284921088673
no_warmup,4,output,5,0.00162725592225655,4.251500981959462e-05,1.884330231501884,0.03655100337441651
no_warmup,4,output_norm,5,0.00014300924305840813,6.501203559428987e-06,0.16627046244316646,0.007244728654277174
no_warmup,5,hidden,5,0.0014807358774825638,2.068636796535448e-05,1.409793009033671,0.05797488160979704
no_warmup,5,hidden_norm,5,0.0001324894927930163,3.00419612000027e-06,0.12064102307325857,0.005267389315451223
no_warmup,5,input,5,0.000528925771107791,3.811665765717878e-06,0.7544553904582261,0.030467964643652392
no_warmup,5,output,5,0.0015830887775339045,3.656053925699505e-05,1.8778975915581655,0.06687079152547086
no_warmup,5,output_norm,5,0.000139297835096185,5.208505800661135e-06,0.16046479211353853,0.011085960574143582
no_warmup,6,hidden,5,0.001432723625566705,1.9101905747308836e-05,1.3737474220731838,0.04964307033040415
no_warmup,6,hidden_norm,5,0.00012944322562670566,3.939863762046616e-06,0.12462225369144524,0.019353917324169204
no_warmup,6,input,5,0.0005135531551186141,4.4050215685263925e-06,0.7524163664753105,0.04434234800766239
no_warmup,6,output,5,0.0015404065892951097,3.283232748959932e-05,1.8318726847764997,0.01775225114353873
no_warmup,6,output_norm,5,0.00013667249403103376,5.9704814965203294e-06,0.17483792582917723,0.02695667027690559
no_warmup,7,hidden,5,0.0013997311008475928,1.6282428327446114e-05,1.3690320606000106,0.06626503287591458
no_warmup,7,hidden_norm,5,0.0001273791915754637,3.734161409083354e-06,0.1259185734500207,0.011916788712889932
no_warmup,7,input,5,0.0005013902711307756,3.923563973607132e-06,0.7450027708525275,0.03681806050285912
no_warmup,7,output,5,0.001508193755336566,2.6591367426939236e-05,1.8336372950332838,0.08118946764073166
no_warmup,7,output_norm,5,0.0001356056492933231,4.882234491049097e-06,0.16256705775796754,0.02105600633027496
no_warmup,8,hidden,5,0.0013716816484745555,1.3112162014962218e-05,1.398287307195216,0.027641617982926404
no_warmup,8,hidden_norm,5,0.00012396549680915276,3.863652197645879e-06,0.12322910727040012,0.008179419482994494
no_warmup,8,input,5,0.0004909988586679389,4.339903631768712e-06,0.7560514417273354,0.02753557942120396
no_warmup,8,output,5,0.0014854218583310686,2.8293866609212954e-05,1.865439043388284,0.07293456858220326
no_warmup,8,output_norm,5,0.0001329795411656197,6.02505849273803e-06,0.16760669793121435,0.008253251537985635
no_warmup,9,hidden,5,0.0013492606154982137,1.262936525207863e-05,1.3553334391447376,0.05747893341989183
no_warmup,9,hidden_norm,5,0.00012173960596238724,3.1776433295384354e-06,0.12158079659840623,0.006876034588936745
no_warmup,9,input,5,0.00048349419144538754,5.401077563804761e-06,0.7440101496630132,0.023088516958849135
no_warmup,9,output,5,0.0014664606423984573,2.8259998331018997e-05,1.8153035825575348,0.10173992414598516
no_warmup,9,output_norm,5,0.00012997787246578897,6.074537591346482e-06,0.1588988189940046,0.01963594427454736
no_warmup,10,hidden,5,0.001334183054591638,9.75987934210526e-06,1.3699969921034205,0.059442311845469616
no_warmup,10,hidden_norm,5,0.0001201931455394957,4.372892130587996e-06,0.12246402084024947,0.003189261865167902
no_warmup,10,input,5,0.0004784223951626649,5.7975015499181045e-06,0.7451798794506725,0.04374888377561861
no_warmup,10,output,5,0.0014509700156615825,2.5802961355872446e-05,1.818510298555894,0.0906795395305435
no_warmup,10,output_norm,5,0.00012814077085260552,7.966444017040642e-06,0.15838481524949027,0.005161684114152851
no_warmup,11,hidden,5,0.001321401263150853,1.339164688448747e-05,1.3723473040895375,0.04467337802241891
no_warmup,11,hidden_norm,5,0.00011993531141956719,4.389921889857675e-06,0.12740559505481705,0.006849789912581215
no_warmup,11,input,5,0.00047383104108878697,7.280461723325682e-06,0.7470590410893714,0.02251022325316811
no_warmup,11,output,5,0.0014377410500859419,2.911515431173654e-05,1.8274078334110704,0.07079428617921063
no_warmup,11,output_norm,5,0.0001279723151818575,9.1602959469614e-06,0.17152813538173514,0.020873647157874296
