width,learning_rate,steps,seeds,mean_validation_loss,std_validation_loss
256,0.00075,80,5,0.7802150011062622,0.006731269538192531
256,0.0010606601717798214,80,5,0.7040056526660919,0.006196559127992593
256,0.0015,80,5,0.6619778662919998,0.00682957670754502
256,0.002121320343559643,80,5,0.6482691049575806,0.008703101290525699
256,0.003,80,5,0.6559931039810181,0.011426298303689972
256,0.004242640687119286,80,5,0.6725184321403503,0.015140562701114968
256,0.006,80,5,0.6869828224182128,0.014904049525205859
512,0.000375,80,5,0.697705614566803,0.010608530128474828
512,0.0005303300858899107,80,5,0.6435200184583664,0.010779513329136707
512,0.00075,80,5,0.6160234481096267,0.012642913652541266
512,0.0010606601717798214,80,5,0.6116807907819748,0.015645157544257545
512,0.0015,80,5,0.6265022724866867,0.018774249745774282
512,0.002121320343559643,80,5,0.653102234005928,0.022483278443268757
512,0.003,80,5,0.6802286982536316,0.024929954614623776
1024,0.0001875,80,5,0.6418311059474945,0.013869868345759888
1024,0.00026516504294495536,80,5,0.6039738535881043,0.013500495500107625
1024,0.000375,80,5,0.5889136403799057,0.012557952730356292
1024,0.0005303300858899107,80,5,0.5941278815269471,0.010037167527014383
1024,0.00075,80,5,0.6167688459157944,0.007225405830948327
1024,0.0010606601717798214,80,5,0.6517705172300339,0.00545695707277568
1024,0.0015,80,5,0.6911161422729493,0.009665962338935153
